Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_file_ccp,cond_mean_diff_file_ccp,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
20,AnonInnerLength,744.0,22890.0,1494.0,7907.0,33035.0,0.72,0.26,0.07,0.33,0.27,0.09,0.06,0.07,0.71,0.01,-0.03,0.83,0.36,0.0,,197,12647,151,9533,22528,0.57,0.43,0.02,0.57,0.31,0.02,0.01,0.02,0.57,0.01,0.0,0.99,0.12,0.0,,0.27122872442003026,0.06391780256575053,True,0.18645568811973384,0.08999999999999997,2026,204,5954,160749,5096,89081,260880,0.64,0.36,0.04,0.54,0.48,0.06,0.03,0.06,0.62,0.02,0.01,0.95,0.25,0.0,,50,165.0,12470.0,574.0,3325.0,16534.0,0.76,0.21,0.04,0.22,0.06,0.05,0.04,0.04,0.76,0.0,-0.03,0.74,0.26,0.0,,21,5.0,7278.0,16.0,1137.0,8436.0,0.86,0.14,0.0,0.24,0.76,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.03,0.0,,22,451.0,4904.0,1027.0,1683.0,8065.0,0.66,0.26,0.18,0.31,0.15,0.21,0.17,0.14,0.65,0.02,-0.1,0.83,0.69,0.0,
21,BooleanExpressionComplexity,553.0,23262.0,1122.0,8098.0,33035.0,0.72,0.26,0.05,0.33,0.26,0.06,0.05,0.06,0.71,0.01,-0.02,0.83,0.29,0.0,,59,12721,77,9671,22528,0.57,0.43,0.01,0.43,0.0,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.05,0.0,,0.2698738378224314,0.06256291596815168,True,0.15952947116741875,0.06000000000000005,1478,92,4883,160416,5429,90152,260880,0.63,0.36,0.04,0.47,0.3,0.05,0.03,0.05,0.62,0.01,-0.0,0.95,0.24,0.0,,70,78.0,12758.0,286.0,3412.0,16534.0,0.78,0.21,0.02,0.21,0.02,0.02,0.02,0.02,0.78,0.0,-0.02,0.74,0.15,0.0,,89,1.0,7286.0,8.0,1141.0,8436.0,0.86,0.14,0.0,0.11,-0.18,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.01,0.0,,33,389.0,5018.0,913.0,1745.0,8065.0,0.67,0.26,0.16,0.3,0.13,0.18,0.15,0.13,0.66,0.02,-0.09,0.83,0.64,0.0,
22,InnerTypeLast,1153.0,22056.0,2328.0,7498.0,33035.0,0.7,0.26,0.11,0.33,0.26,0.13,0.1,0.11,0.69,0.02,-0.05,0.83,0.49,0.0,,234,12561,237,9496,22528,0.57,0.43,0.02,0.5,0.15,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.15,0.0,,0.25916296991796545,0.051852048063685714,True,0.5533627336094781,0.06000000000000005,3006,196,6751,156918,8927,88284,260880,0.63,0.36,0.06,0.43,0.18,0.07,0.05,0.06,0.62,0.01,-0.01,0.95,0.33,0.0,,15,294.0,12166.0,878.0,3196.0,16534.0,0.75,0.21,0.07,0.25,0.19,0.08,0.07,0.07,0.75,0.01,-0.04,0.74,0.37,0.0,,65,12.0,7219.0,75.0,1130.0,8436.0,0.86,0.14,0.01,0.14,0.02,0.01,0.01,0.01,0.86,0.0,-0.01,0.57,0.08,0.0,,27,672.0,4381.0,1550.0,1462.0,8065.0,0.63,0.26,0.28,0.3,0.14,0.31,0.26,0.18,0.61,0.03,-0.15,0.83,0.85,0.0,
23,UnnecessaryParentheses,1406.0,21478.0,2906.0,7245.0,33035.0,0.69,0.26,0.13,0.33,0.25,0.16,0.12,0.12,0.68,0.02,-0.06,0.83,0.56,0.0,,240,12578,220,9490,22528,0.57,0.43,0.02,0.52,0.21,0.02,0.02,0.02,0.57,0.01,0.0,0.99,0.14,0.0,,0.2615458430684296,0.054234921214149856,True,0.4866900768947269,0.07999999999999996,3148,270,9111,156341,9504,85924,260880,0.63,0.36,0.07,0.49,0.34,0.1,0.06,0.09,0.62,0.03,-0.0,0.95,0.37,0.0,,16,386.0,11899.0,1145.0,3104.0,16534.0,0.74,0.21,0.09,0.25,0.19,0.11,0.09,0.08,0.74,0.01,-0.06,0.74,0.45,0.0,,44,23.0,7174.0,120.0,1119.0,8436.0,0.85,0.14,0.02,0.16,0.19,0.02,0.02,0.02,0.85,0.0,-0.01,0.57,0.12,0.0,,38,773.0,4066.0,1865.0,1361.0,8065.0,0.6,0.26,0.33,0.29,0.11,0.36,0.31,0.19,0.58,0.03,-0.18,0.83,0.91,0.0,
24,CyclomaticComplexity,2605.0,19038.0,5346.0,6046.0,33035.0,0.66,0.26,0.24,0.33,0.25,0.3,0.22,0.19,0.62,0.05,-0.11,0.83,0.8,0.0,,293,12509,289,9437,22528,0.57,0.43,0.03,0.5,0.17,0.03,0.02,0.03,0.56,0.01,0.0,0.99,0.17,0.0,,0.2684695021807819,0.06115858032650218,True,0.6003370752865165,0.040000000000000036,6719,262,12001,151516,14329,83034,260880,0.63,0.36,0.1,0.46,0.25,0.13,0.09,0.11,0.61,0.03,-0.01,0.95,0.47,0.0,,13,711.0,10967.0,2077.0,2779.0,16534.0,0.71,0.21,0.17,0.26,0.21,0.2,0.16,0.13,0.69,0.02,-0.1,0.74,0.65,0.0,,27,7.0,7265.0,29.0,1135.0,8436.0,0.86,0.14,0.0,0.19,0.44,0.01,0.0,0.01,0.86,0.0,-0.0,0.57,0.04,0.0,,43,1485.0,2289.0,3642.0,649.0,8065.0,0.47,0.26,0.64,0.29,0.09,0.7,0.61,0.26,0.44,0.07,-0.36,0.83,0.95,0.0,
25,MethodLength,663.0,23028.0,1356.0,7988.0,33035.0,0.72,0.26,0.06,0.33,0.25,0.08,0.06,0.07,0.71,0.01,-0.03,0.83,0.33,0.0,,79,12725,73,9651,22528,0.57,0.43,0.01,0.52,0.2,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.06,0.0,,0.2756420365273147,0.06833111467303493,True,0.3238528755431664,0.05000000000000005,1899,106,4377,160773,5072,90658,260880,0.63,0.36,0.04,0.46,0.27,0.05,0.03,0.04,0.63,0.01,-0.0,0.95,0.22,0.0,,101,46.0,12852.0,192.0,3444.0,16534.0,0.78,0.21,0.01,0.19,-0.08,0.01,0.01,0.01,0.78,-0.0,-0.01,0.74,0.11,0.0,,139,0.0,7294.0,0.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,0.0,0.0,0.57,0.0,0.0,,42,516.0,4666.0,1265.0,1618.0,8065.0,0.64,0.26,0.22,0.29,0.09,0.24,0.21,0.15,0.63,0.02,-0.13,0.83,0.76,0.0,
26,NestedIfDepth,2183.0,19912.0,4472.0,6468.0,33035.0,0.67,0.26,0.2,0.33,0.25,0.25,0.18,0.17,0.64,0.04,-0.09,0.83,0.72,0.0,,411,12443,355,9319,22528,0.57,0.43,0.03,0.54,0.24,0.04,0.03,0.04,0.56,0.01,0.0,0.99,0.21,0.0,,0.26765608146318265,0.06034515960890291,True,0.27360260886439025,0.040000000000000036,5718,254,10824,154004,11841,84211,260880,0.63,0.36,0.09,0.48,0.31,0.11,0.07,0.1,0.61,0.03,-0.01,0.95,0.43,0.0,,31,527.0,11359.0,1685.0,2963.0,16534.0,0.72,0.21,0.13,0.24,0.13,0.15,0.13,0.1,0.71,0.01,-0.09,0.74,0.57,0.0,,58,8.0,7247.0,47.0,1134.0,8436.0,0.86,0.14,0.01,0.15,0.07,0.01,0.01,0.01,0.86,0.0,-0.01,0.57,0.06,0.0,,35,1304.0,2847.0,3084.0,830.0,8065.0,0.51,0.26,0.54,0.3,0.12,0.61,0.52,0.25,0.48,0.07,-0.3,0.83,0.99,0.0,
27,JavadocType,271.0,23826.0,558.0,8380.0,33035.0,0.73,0.26,0.03,0.33,0.25,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.17,0.0,,15,12776,22,9715,22528,0.57,0.43,0.0,0.41,-0.06,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.02,0.0,,0.23962903092024654,0.032318109065966834,False,0.02616085565414151,0.06000000000000005,490,30,1251,159082,6763,93784,260880,0.61,0.36,0.03,0.16,-0.57,0.01,0.04,0.01,0.63,-0.02,-0.03,0.95,0.2,0.0,,28,101.0,12728.0,316.0,3389.0,16534.0,0.78,0.21,0.03,0.24,0.15,0.03,0.02,0.03,0.77,0.0,-0.02,0.74,0.17,0.0,,84,11.0,7213.0,81.0,1131.0,8436.0,0.86,0.14,0.01,0.12,-0.12,0.01,0.01,0.01,0.86,-0.0,-0.01,0.57,0.09,0.0,,5,111.0,5722.0,209.0,2023.0,8065.0,0.72,0.26,0.04,0.35,0.31,0.05,0.04,0.05,0.72,0.01,-0.02,0.83,0.24,0.0,
28,MutableException,12.0,24359.0,25.0,8639.0,33035.0,0.74,0.26,0.0,0.32,0.24,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,,2,12798,0,9728,22528,0.57,0.43,0.0,1.0,1.32,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,,0.2714740701425681,0.06416314828828834,False,0.003938419423749014,0.07999999999999996,24,2,33,165783,62,95002,260880,0.64,0.36,0.0,0.35,-0.05,0.0,0.0,0.0,0.64,-0.0,-0.0,0.95,0.0,0.0,,136,1.0,13034.0,10.0,3489.0,16534.0,0.79,0.21,0.0,0.09,-0.57,0.0,0.0,0.0,0.79,-0.0,-0.0,0.74,0.01,0.0,,30,3.0,7281.0,13.0,1139.0,8436.0,0.86,0.14,0.0,0.19,0.39,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.02,0.0,,1,4.0,5925.0,6.0,2130.0,8065.0,0.74,0.26,0.0,0.4,0.51,0.0,0.0,0.0,0.73,0.0,-0.0,0.83,0.01,0.0,
29,IllegalCatch,2125.0,19962.0,4422.0,6526.0,33035.0,0.67,0.26,0.2,0.32,0.24,0.25,0.18,0.16,0.64,0.04,-0.09,0.83,0.72,0.0,,234,12559,239,9496,22528,0.57,0.43,0.02,0.49,0.15,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.15,0.0,,0.2548998324963105,0.0475889106420308,True,0.21190141826779715,0.040000000000000036,5227,204,7625,158173,7672,87410,260880,0.64,0.36,0.06,0.5,0.37,0.08,0.05,0.07,0.62,0.03,-0.0,0.95,0.32,0.0,,27,691.0,10886.0,2158.0,2799.0,16534.0,0.7,0.21,0.17,0.24,0.15,0.2,0.17,0.12,0.69,0.02,-0.11,0.74,0.66,0.0,,46,40.0,7079.0,215.0,1102.0,8436.0,0.84,0.14,0.03,0.16,0.16,0.04,0.03,0.03,0.84,0.0,-0.02,0.57,0.2,0.0,,34,1023.0,3511.0,2420.0,1111.0,8065.0,0.56,0.26,0.43,0.3,0.12,0.48,0.41,0.22,0.53,0.05,-0.24,0.83,0.98,0.0,
30,JavaNCSS,1602.0,21052.0,3332.0,7049.0,33035.0,0.69,0.26,0.15,0.32,0.24,0.19,0.14,0.13,0.67,0.03,-0.07,0.83,0.61,0.0,,205,12616,182,9525,22528,0.57,0.43,0.02,0.53,0.23,0.02,0.01,0.02,0.57,0.01,0.0,0.99,0.13,0.0,,0.26844208977514866,0.06113116792086892,True,0.4583635533765757,0.05000000000000005,4425,211,9693,154392,11453,85342,260880,0.63,0.36,0.08,0.46,0.26,0.1,0.07,0.09,0.61,0.02,-0.01,0.95,0.41,0.0,,19,307.0,12118.0,926.0,3183.0,16534.0,0.75,0.21,0.07,0.25,0.18,0.09,0.07,0.07,0.75,0.01,-0.05,0.74,0.38,0.0,,127,0.0,7291.0,3.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.0,0.0,,57,1044.0,3277.0,2654.0,1090.0,8065.0,0.54,0.26,0.46,0.28,0.07,0.49,0.45,0.22,0.52,0.03,-0.27,0.83,1.0,0.0,
31,ReturnCount,3296.0,17544.0,6840.0,5355.0,33035.0,0.63,0.26,0.31,0.33,0.24,0.38,0.28,0.21,0.59,0.07,-0.15,0.83,0.89,0.01,,359,12449,349,9371,22528,0.57,0.43,0.03,0.51,0.17,0.04,0.03,0.04,0.56,0.01,0.0,0.99,0.2,0.0,,0.2623113356375596,0.055000413783279856,True,0.5683202399651038,0.030000000000000027,7978,287,14438,152109,13736,80597,260880,0.64,0.36,0.11,0.51,0.41,0.15,0.08,0.13,0.61,0.05,0.0,0.95,0.49,0.01,,22,1077.0,9750.0,3294.0,2413.0,16534.0,0.65,0.21,0.26,0.25,0.17,0.31,0.25,0.16,0.64,0.03,-0.17,0.74,0.83,0.0,,26,70.0,7007.0,287.0,1072.0,8436.0,0.84,0.14,0.04,0.2,0.45,0.06,0.04,0.05,0.83,0.01,-0.03,0.57,0.25,0.0,,37,1591.0,2114.0,3817.0,543.0,8065.0,0.46,0.26,0.67,0.29,0.11,0.75,0.64,0.27,0.42,0.09,-0.38,0.83,0.91,0.01,
32,OperatorWrap,1657.0,20920.0,3464.0,6994.0,33035.0,0.68,0.26,0.16,0.32,0.24,0.19,0.14,0.14,0.66,0.03,-0.07,0.83,0.62,0.0,,299,12450,348,9431,22528,0.57,0.43,0.03,0.46,0.07,0.03,0.03,0.03,0.56,0.0,-0.0,0.99,0.19,0.0,,0.2677084560823553,0.06039753422807559,True,0.2483670175194274,0.06000000000000005,4287,297,6835,152900,12945,88200,260880,0.61,0.36,0.08,0.35,-0.05,0.07,0.08,0.06,0.62,-0.0,-0.04,0.95,0.39,0.0,,18,515.0,11503.0,1541.0,2975.0,16534.0,0.73,0.21,0.12,0.25,0.19,0.15,0.12,0.1,0.72,0.01,-0.08,0.74,0.54,0.0,,92,31.0,7038.0,256.0,1111.0,8436.0,0.84,0.14,0.03,0.11,-0.2,0.03,0.04,0.02,0.84,-0.0,-0.03,0.57,0.21,0.0,,23,848.0,4001.0,1930.0,1286.0,8065.0,0.6,0.26,0.34,0.31,0.15,0.4,0.33,0.21,0.57,0.05,-0.18,0.83,0.93,0.0,
33,InvalidJavadocPosition,288.0,23788.0,596.0,8363.0,33035.0,0.73,0.26,0.03,0.33,0.24,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.18,0.0,,74,12721,77,9656,22528,0.57,0.43,0.01,0.49,0.13,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.06,0.0,,0.2444144044382544,0.03710348258397464,True,0.07236980867762867,0.15000000000000002,680,123,847,164227,1618,94188,260880,0.63,0.36,0.01,0.34,-0.06,0.01,0.01,0.01,0.63,-0.0,-0.0,0.95,0.08,0.0,,92,52.0,12838.0,206.0,3438.0,16534.0,0.78,0.21,0.02,0.2,-0.05,0.01,0.02,0.01,0.78,-0.0,-0.01,0.74,0.12,0.0,,32,8.0,7258.0,36.0,1134.0,8436.0,0.86,0.14,0.01,0.18,0.34,0.01,0.0,0.01,0.86,0.0,-0.0,0.57,0.05,0.0,,41,168.0,5517.0,414.0,1966.0,8065.0,0.7,0.26,0.07,0.29,0.09,0.08,0.07,0.07,0.7,0.0,-0.04,0.83,0.37,0.0,
34,NonEmptyAtclauseDescription,944.0,22399.0,1985.0,7707.0,33035.0,0.71,0.26,0.09,0.32,0.23,0.11,0.08,0.09,0.7,0.02,-0.04,0.83,0.43,0.0,,119,12633,165,9611,22528,0.57,0.43,0.01,0.42,-0.03,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.1,0.0,,0.258645634322284,0.05133471246800425,True,0.08240482693938697,0.06000000000000005,2567,162,8256,161682,4163,86779,260880,0.65,0.36,0.05,0.66,0.82,0.09,0.03,0.08,0.62,0.05,0.02,0.95,0.28,0.01,,81,230.0,12183.0,861.0,3260.0,16534.0,0.75,0.21,0.07,0.21,-0.0,0.07,0.07,0.05,0.75,-0.0,-0.05,0.74,0.35,0.0,,93,18.0,7146.0,148.0,1124.0,8436.0,0.85,0.14,0.02,0.11,-0.2,0.02,0.02,0.01,0.85,-0.0,-0.02,0.57,0.14,0.0,,13,535.0,4794.0,1137.0,1599.0,8065.0,0.66,0.26,0.21,0.32,0.21,0.25,0.19,0.16,0.64,0.04,-0.1,0.83,0.74,0.0,
35,RightCurly,1262.0,21687.0,2697.0,7389.0,33035.0,0.69,0.26,0.12,0.32,0.22,0.15,0.11,0.11,0.68,0.02,-0.06,0.83,0.53,0.0,,321,12468,330,9409,22528,0.57,0.43,0.03,0.49,0.14,0.03,0.03,0.03,0.56,0.01,-0.0,0.99,0.19,0.0,,0.25276308875068665,0.04545216689640691,True,0.21246108340556072,0.09999999999999998,2956,313,3177,160417,5428,91858,260880,0.63,0.36,0.03,0.37,0.01,0.03,0.03,0.03,0.63,0.0,-0.01,0.95,0.21,0.0,,34,430.0,11675.0,1369.0,3060.0,16534.0,0.73,0.21,0.11,0.24,0.13,0.12,0.1,0.09,0.73,0.01,-0.07,0.74,0.5,0.0,,91,12.0,7196.0,98.0,1130.0,8436.0,0.85,0.14,0.01,0.11,-0.19,0.01,0.01,0.01,0.86,-0.0,-0.01,0.57,0.1,0.0,,48,584.0,4465.0,1466.0,1550.0,8065.0,0.63,0.26,0.25,0.28,0.08,0.27,0.25,0.16,0.62,0.02,-0.15,0.83,0.82,0.0,
36,AvoidStaticImport,2261.0,19568.0,4816.0,6390.0,33035.0,0.66,0.26,0.21,0.32,0.22,0.26,0.2,0.17,0.64,0.04,-0.1,0.83,0.75,0.0,,270,12528,270,9460,22528,0.57,0.43,0.02,0.5,0.16,0.03,0.02,0.03,0.56,0.01,0.0,0.99,0.16,0.0,,0.2565777077532639,0.04926678589898415,True,0.11407074368249352,0.040000000000000036,4952,233,8309,156720,9125,86726,260880,0.63,0.36,0.07,0.48,0.31,0.09,0.06,0.08,0.62,0.02,-0.0,0.95,0.35,0.0,,17,902.0,10354.0,2690.0,2588.0,16534.0,0.68,0.21,0.22,0.25,0.19,0.26,0.21,0.15,0.66,0.03,-0.14,0.74,0.76,0.0,,29,159.0,6612.0,682.0,983.0,8436.0,0.8,0.14,0.1,0.19,0.4,0.14,0.09,0.09,0.79,0.01,-0.07,0.57,0.47,0.0,,26,797.0,4084.0,1847.0,1337.0,8065.0,0.61,0.26,0.33,0.3,0.14,0.37,0.31,0.2,0.58,0.04,-0.18,0.83,0.91,0.0,
37,RequireThis,15.0,24352.0,32.0,8636.0,33035.0,0.74,0.26,0.0,0.32,0.22,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.02,0.0,,5,12795,3,9725,22528,0.57,0.43,0.0,0.62,0.45,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,,0.3184036526020985,0.11109273074781872,True,0.048233006646089316,0.13,48,7,179,165639,206,94856,260880,0.64,0.36,0.0,0.46,0.28,0.0,0.0,0.0,0.64,0.0,-0.0,0.95,0.02,0.0,,117,1.0,13039.0,5.0,3489.0,16534.0,0.79,0.21,0.0,0.17,-0.21,0.0,0.0,0.0,0.79,-0.0,-0.0,0.74,0.0,0.0,,128,0.0,7294.0,0.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,0.0,0.0,0.57,0.0,0.0,,14,13.0,5903.0,28.0,2121.0,8065.0,0.73,0.26,0.01,0.32,0.2,0.01,0.0,0.01,0.73,0.0,-0.0,0.83,0.05,0.0,
38,ClassDataAbstractionCoupling,2009.0,20115.0,4269.0,6642.0,33035.0,0.67,0.26,0.19,0.32,0.22,0.23,0.18,0.16,0.65,0.03,-0.09,0.83,0.7,0.0,,125,12665,133,9605,22528,0.57,0.43,0.01,0.48,0.12,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.09,0.0,,0.2647190476783647,0.057408125824084937,True,0.2270697427029375,0.040000000000000036,5745,248,9321,156322,9523,85714,260880,0.63,0.36,0.07,0.49,0.36,0.1,0.06,0.09,0.62,0.03,-0.0,0.95,0.37,0.0,,36,442.0,11613.0,1431.0,3048.0,16534.0,0.73,0.21,0.11,0.24,0.12,0.13,0.11,0.09,0.72,0.01,-0.08,0.74,0.51,0.0,,22,7.0,7271.0,23.0,1135.0,8436.0,0.86,0.14,0.0,0.23,0.72,0.01,0.0,0.01,0.86,0.0,-0.0,0.57,0.03,0.0,,47,1249.0,2805.0,3126.0,885.0,8065.0,0.5,0.26,0.54,0.29,0.08,0.59,0.53,0.24,0.48,0.05,-0.32,0.83,0.99,0.0,
39,ExecutableStatementCount,2126.0,19782.0,4602.0,6525.0,33035.0,0.66,0.26,0.2,0.32,0.21,0.25,0.19,0.16,0.64,0.03,-0.1,0.83,0.73,0.0,,244,12573,225,9486,22528,0.57,0.43,0.02,0.52,0.2,0.03,0.02,0.02,0.57,0.01,0.0,0.99,0.15,0.0,,0.2625888673625767,0.05527794550829696,True,0.4964445288361611,0.040000000000000036,5718,246,11757,151705,14140,83278,260880,0.63,0.36,0.1,0.45,0.25,0.12,0.09,0.11,0.61,0.03,-0.01,0.95,0.47,0.0,,42,501.0,11369.0,1675.0,2989.0,16534.0,0.72,0.21,0.13,0.23,0.09,0.14,0.13,0.1,0.71,0.01,-0.09,0.74,0.56,0.0,,117,0.0,7281.0,13.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.02,0.0,,59,1291.0,2683.0,3248.0,843.0,8065.0,0.49,0.26,0.56,0.28,0.07,0.6,0.55,0.24,0.47,0.05,-0.33,0.83,0.99,0.0,
40,JavadocParagraph,2030.0,20007.0,4377.0,6621.0,33035.0,0.67,0.26,0.19,0.32,0.21,0.23,0.18,0.16,0.65,0.03,-0.1,0.83,0.71,0.0,,381,12370,428,9349,22528,0.57,0.43,0.04,0.47,0.09,0.04,0.03,0.04,0.56,0.0,-0.0,0.99,0.22,0.0,,0.2456070811802376,0.03829615932595787,True,0.1771002375584111,0.09999999999999998,5512,601,12498,153234,12611,82537,260880,0.64,0.36,0.1,0.5,0.37,0.13,0.08,0.12,0.61,0.04,-0.0,0.95,0.46,0.01,,38,664.0,10857.0,2187.0,2826.0,16534.0,0.7,0.21,0.17,0.23,0.1,0.19,0.17,0.12,0.69,0.01,-0.12,0.74,0.66,0.0,,42,107.0,6748.0,546.0,1035.0,8436.0,0.81,0.14,0.08,0.16,0.21,0.09,0.07,0.06,0.81,0.01,-0.06,0.57,0.39,0.0,,21,889.0,3917.0,2014.0,1245.0,8065.0,0.6,0.26,0.36,0.31,0.16,0.42,0.34,0.21,0.57,0.05,-0.19,0.83,0.94,0.0,
41,TrailingComment,2252.0,19511.0,4873.0,6399.0,33035.0,0.66,0.26,0.22,0.32,0.21,0.26,0.2,0.17,0.64,0.04,-0.11,0.83,0.75,0.0,,438,12455,343,9292,22528,0.57,0.43,0.03,0.56,0.3,0.05,0.03,0.04,0.56,0.02,0.01,0.99,0.22,0.0,,0.25871034420475153,0.05139942235047179,True,0.14502761328623126,0.05000000000000005,5665,303,10661,154436,11409,84374,260880,0.63,0.36,0.08,0.48,0.33,0.11,0.07,0.1,0.61,0.03,-0.0,0.95,0.42,0.0,,30,660.0,10925.0,2119.0,2830.0,16534.0,0.7,0.21,0.17,0.24,0.13,0.19,0.16,0.12,0.69,0.01,-0.11,0.74,0.65,0.0,,15,62.0,7118.0,176.0,1080.0,8436.0,0.85,0.14,0.03,0.26,0.92,0.05,0.02,0.05,0.84,0.01,-0.02,0.57,0.19,0.0,,56,1168.0,2991.0,2940.0,966.0,8065.0,0.52,0.26,0.51,0.28,0.07,0.55,0.5,0.23,0.5,0.04,-0.3,0.83,1.0,0.0,
42,SingleLineJavadoc,138.0,24083.0,301.0,8513.0,33035.0,0.73,0.26,0.01,0.31,0.2,0.02,0.01,0.02,0.73,0.0,-0.01,0.83,0.1,0.0,,10,12784,14,9720,22528,0.57,0.43,0.0,0.42,-0.04,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.01,0.0,,0.2450468223787252,0.03773590052444542,False,0.037038551659952734,0.040000000000000036,369,15,478,165631,214,94557,260880,0.64,0.36,0.0,0.69,0.9,0.01,0.0,0.01,0.63,0.0,0.0,0.95,0.03,0.0,,47,34.0,12928.0,116.0,3456.0,16534.0,0.78,0.21,0.01,0.23,0.07,0.01,0.01,0.01,0.78,0.0,-0.01,0.74,0.07,0.0,,73,8.0,7241.0,53.0,1134.0,8436.0,0.86,0.14,0.01,0.13,-0.03,0.01,0.01,0.01,0.86,-0.0,-0.01,0.57,0.06,0.0,,108,58.0,5761.0,170.0,2076.0,8065.0,0.72,0.26,0.03,0.25,-0.04,0.03,0.03,0.03,0.72,-0.0,-0.02,0.83,0.19,0.0,
43,ParameterNumber,786.0,22666.0,1718.0,7865.0,33035.0,0.71,0.26,0.08,0.31,0.2,0.09,0.07,0.08,0.7,0.01,-0.04,0.83,0.39,0.0,,76,12696,102,9654,22528,0.57,0.43,0.01,0.43,-0.01,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.07,0.0,,0.25926597016996805,0.05195504831568831,True,0.0874238877554528,0.05000000000000005,2199,123,3910,162055,3790,91125,260880,0.64,0.36,0.03,0.51,0.39,0.04,0.02,0.04,0.63,0.01,0.0,0.95,0.19,0.0,,33,242.0,12271.0,773.0,3248.0,16534.0,0.76,0.21,0.06,0.24,0.13,0.07,0.06,0.06,0.75,0.0,-0.04,0.74,0.33,0.0,,28,19.0,7215.0,79.0,1123.0,8436.0,0.86,0.14,0.01,0.19,0.43,0.02,0.01,0.02,0.86,0.0,-0.01,0.57,0.09,0.0,,49,398.0,4938.0,993.0,1736.0,8065.0,0.66,0.26,0.17,0.29,0.08,0.19,0.17,0.13,0.65,0.01,-0.1,0.83,0.66,0.0,
