Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_same_day_duration_avg,cond_mean_diff_same_day_duration_avg,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
20,MethodLength,686.0,23489.0,1333.0,7527.0,33035.0,0.73,0.25,0.06,0.34,0.37,0.08,0.05,0.07,0.72,0.02,-0.03,0.81,0.33,0.0,,64,11184,88,11192,22528,0.5,0.5,0.01,0.42,-0.16,0.01,0.01,0.01,0.5,-0.0,-0.0,1.0,0.06,0.0,,122.7778016174042,20.55772685317693,True,0.3238528755431664,0.05000000000000005,1899,106,4118,136802,5331,114629,260880,0.54,0.46,0.04,0.44,-0.04,0.03,0.04,0.03,0.54,-0.0,-0.01,0.99,0.22,0.0,,26,69.0,12251.0,169.0,4045.0,16534.0,0.75,0.25,0.01,0.29,0.17,0.02,0.01,0.02,0.74,0.0,-0.01,0.81,0.11,0.0,,133,0.0,7043.0,0.0,1393.0,8436.0,0.83,0.17,0.0,0.0,-1.0,0.0,0.0,0.0,0.83,0.0,0.0,0.65,0.0,0.0,,46,617.0,4195.0,1164.0,2089.0,8065.0,0.6,0.34,0.22,0.35,0.03,0.23,0.22,0.16,0.59,0.01,-0.1,0.92,0.76,0.0,
21,UnnecessarySemicolonInEnumeration,56.0,24710.0,112.0,8157.0,33035.0,0.75,0.25,0.01,0.33,0.34,0.01,0.0,0.01,0.75,0.0,-0.0,0.81,0.05,0.0,,7,11268,4,11249,22528,0.5,0.5,0.0,0.64,0.27,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.01,0.0,,133.25007325294038,31.029998488713108,True,0.015035136921525603,0.07999999999999996,110,10,965,141149,984,117782,260880,0.54,0.46,0.01,0.5,0.09,0.01,0.01,0.01,0.54,0.0,-0.0,0.99,0.06,0.0,,75,21.0,12358.0,62.0,4093.0,16534.0,0.75,0.25,0.01,0.25,0.02,0.01,0.0,0.01,0.75,0.0,-0.0,0.81,0.05,0.0,,17,5.0,7034.0,9.0,1388.0,8436.0,0.83,0.17,0.0,0.36,1.16,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.02,0.0,,8,30.0,5318.0,41.0,2676.0,8065.0,0.66,0.34,0.01,0.42,0.26,0.01,0.01,0.01,0.66,0.0,-0.0,0.92,0.07,0.0,
22,Regexp,1.0,24820.0,2.0,8212.0,33035.0,0.75,0.25,0.0,0.33,0.34,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.0,0.0,,0,11272,0,11256,22528,0.5,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,65.01953748006382,-37.20053728416346,False,-0.00511864737356087,0.0,2,0,0,142133,0,118747,260880,0.54,0.46,0.0,0.0,-1.0,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,,144,0.0,12420.0,0.0,4114.0,16534.0,0.75,0.25,0.0,0.0,-1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.81,0.0,0.0,,19,1.0,7041.0,2.0,1392.0,8436.0,0.83,0.17,0.0,0.33,1.02,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.0,0.0,,148,0.0,5359.0,0.0,2706.0,8065.0,0.66,0.34,0.0,0.0,-1.0,0.0,0.0,0.0,0.66,-0.0,-0.0,0.92,0.0,-0.0,
23,IllegalImport,8.0,24806.0,16.0,8205.0,33035.0,0.75,0.25,0.0,0.33,0.34,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,,6,11271,1,11250,22528,0.5,0.5,0.0,0.86,0.72,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,121.87837279070831,19.658298026481052,False,0.010871394765520131,0.33,12,6,182,141995,138,118565,260880,0.54,0.46,0.0,0.57,0.25,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,,30,2.0,12415.0,5.0,4112.0,16534.0,0.75,0.25,0.0,0.29,0.15,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,,1,2.0,7042.0,1.0,1391.0,8436.0,0.83,0.17,0.0,0.67,3.04,0.0,0.0,0.0,0.83,0.0,0.0,0.65,0.0,0.0,,129,4.0,5349.0,10.0,2702.0,8065.0,0.66,0.34,0.0,0.29,-0.15,0.0,0.0,0.0,0.66,-0.0,-0.0,0.92,0.02,0.0,
24,AnonInnerLength,748.0,23332.0,1490.0,7465.0,33035.0,0.73,0.25,0.07,0.33,0.34,0.09,0.06,0.08,0.72,0.02,-0.03,0.81,0.36,0.0,,154,11078,194,11102,22528,0.5,0.5,0.02,0.44,-0.11,0.01,0.02,0.01,0.5,-0.0,-0.0,1.0,0.12,0.0,,120.01085375341634,17.790778989189068,True,0.18645568811973384,0.08999999999999997,2026,204,5655,136738,5395,113092,260880,0.55,0.46,0.04,0.51,0.12,0.05,0.04,0.05,0.54,0.01,0.0,0.99,0.25,0.0,,14,233.0,11914.0,506.0,3881.0,16534.0,0.73,0.25,0.04,0.32,0.27,0.06,0.04,0.05,0.73,0.01,-0.02,0.81,0.26,0.0,,30,6.0,7028.0,15.0,1387.0,8436.0,0.83,0.17,0.0,0.29,0.73,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.03,0.0,,50,509.0,4390.0,969.0,2197.0,8065.0,0.61,0.34,0.18,0.34,0.03,0.19,0.18,0.14,0.6,0.01,-0.09,0.92,0.69,0.0,
25,JavaNCSS,1647.0,21535.0,3287.0,6566.0,33035.0,0.7,0.25,0.15,0.33,0.34,0.2,0.13,0.14,0.68,0.04,-0.07,0.81,0.61,0.0,,176,11061,211,11080,22528,0.5,0.5,0.02,0.45,-0.09,0.02,0.02,0.02,0.5,-0.0,-0.0,1.0,0.13,0.0,,120.8183268402361,18.59825207600882,True,0.4583635533765757,0.05000000000000005,4425,211,9493,130480,11653,109254,260880,0.54,0.46,0.08,0.45,-0.01,0.08,0.08,0.07,0.54,-0.0,-0.02,0.99,0.41,0.0,,20,369.0,11556.0,864.0,3745.0,16534.0,0.72,0.25,0.07,0.3,0.2,0.09,0.07,0.07,0.71,0.01,-0.04,0.81,0.38,0.0,,2,2.0,7042.0,1.0,1391.0,8436.0,0.83,0.17,0.0,0.67,3.04,0.0,0.0,0.0,0.83,0.0,0.0,0.65,0.0,0.0,,53,1276.0,2937.0,2422.0,1430.0,8065.0,0.52,0.34,0.46,0.35,0.03,0.47,0.45,0.25,0.51,0.02,-0.21,0.92,1.0,0.0,
26,NestedForDepth,258.0,24305.0,517.0,7955.0,33035.0,0.74,0.25,0.02,0.33,0.34,0.03,0.02,0.03,0.74,0.01,-0.01,0.81,0.16,0.0,,42,11239,33,11214,22528,0.5,0.5,0.0,0.56,0.12,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.03,0.0,,119.86437135486948,17.6442965906422,True,0.06494780111142948,0.07999999999999996,578,53,2014,140221,1912,116733,260880,0.55,0.46,0.02,0.51,0.13,0.02,0.01,0.02,0.54,0.0,0.0,0.99,0.11,0.0,,12,61.0,12291.0,129.0,4053.0,16534.0,0.75,0.25,0.01,0.32,0.29,0.01,0.01,0.01,0.75,0.0,-0.01,0.81,0.09,0.0,,150,0.0,7040.0,3.0,1393.0,8436.0,0.83,0.17,0.0,0.0,-1.0,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.0,0.0,,62,197.0,4974.0,385.0,2509.0,8065.0,0.64,0.34,0.07,0.34,0.01,0.07,0.07,0.06,0.64,0.0,-0.04,0.92,0.37,0.0,
27,InnerTypeLast,1141.0,22482.0,2340.0,7072.0,33035.0,0.72,0.25,0.11,0.33,0.32,0.14,0.09,0.11,0.7,0.02,-0.05,0.81,0.49,0.0,,251,11052,220,11005,22528,0.5,0.5,0.02,0.53,0.07,0.02,0.02,0.02,0.5,0.0,0.0,1.0,0.15,0.0,,122.92111137780857,20.70103661358128,True,0.5533627336094781,0.06000000000000005,3006,196,8155,134610,7523,110592,260880,0.55,0.46,0.06,0.52,0.14,0.07,0.05,0.06,0.54,0.01,0.0,0.99,0.33,0.0,,31,331.0,11579.0,841.0,3783.0,16534.0,0.72,0.25,0.07,0.28,0.14,0.08,0.07,0.07,0.72,0.01,-0.04,0.81,0.37,0.0,,102,11.0,6967.0,76.0,1382.0,8436.0,0.83,0.17,0.01,0.13,-0.23,0.01,0.01,0.01,0.83,-0.0,-0.01,0.65,0.08,0.0,,30,799.0,3936.0,1423.0,1907.0,8065.0,0.59,0.34,0.28,0.36,0.07,0.3,0.27,0.19,0.57,0.02,-0.12,0.92,0.85,0.0,
28,ClassMemberImpliedModifier,738.0,23304.0,1518.0,7475.0,33035.0,0.73,0.25,0.07,0.33,0.32,0.09,0.06,0.08,0.72,0.01,-0.03,0.81,0.36,0.0,,54,11215,57,11202,22528,0.5,0.5,0.0,0.49,-0.03,0.0,0.01,0.0,0.5,-0.0,-0.0,1.0,0.04,0.0,,123.10848345085958,20.888408686632328,True,0.7404934756014749,0.040000000000000036,1877,77,4723,138006,4127,114024,260880,0.55,0.46,0.03,0.53,0.17,0.04,0.03,0.04,0.54,0.01,0.0,0.99,0.21,0.0,,42,245.0,11788.0,632.0,3869.0,16534.0,0.73,0.25,0.05,0.28,0.12,0.06,0.05,0.05,0.72,0.0,-0.03,0.81,0.3,0.0,,42,18.0,6980.0,63.0,1375.0,8436.0,0.83,0.17,0.01,0.22,0.35,0.01,0.01,0.01,0.83,0.0,-0.01,0.65,0.08,0.0,,26,475.0,4536.0,823.0,2231.0,8065.0,0.62,0.34,0.16,0.37,0.09,0.18,0.15,0.13,0.61,0.02,-0.06,0.92,0.64,0.0,
29,ExecutableStatementCount,2204.0,20298.0,4524.0,6009.0,33035.0,0.68,0.25,0.2,0.33,0.32,0.27,0.18,0.17,0.65,0.05,-0.09,0.81,0.73,0.01,,220,11023,249,11036,22528,0.5,0.5,0.02,0.47,-0.06,0.02,0.02,0.02,0.5,-0.0,-0.0,1.0,0.15,0.0,,119.13845305951011,16.91837829528285,True,0.4964445288361611,0.040000000000000036,5718,246,11990,128226,13907,106757,260880,0.54,0.46,0.1,0.46,0.02,0.1,0.1,0.09,0.54,0.0,-0.01,0.99,0.47,0.0,,23,644.0,10888.0,1532.0,3470.0,16534.0,0.7,0.25,0.13,0.3,0.19,0.16,0.12,0.11,0.69,0.02,-0.07,0.81,0.56,0.0,,9,6.0,7036.0,7.0,1387.0,8436.0,0.83,0.17,0.0,0.46,1.8,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.02,0.0,,59,1554.0,2374.0,2985.0,1152.0,8065.0,0.49,0.34,0.56,0.34,0.02,0.57,0.56,0.27,0.48,0.02,-0.27,0.92,0.99,0.0,
30,ParameterName,250.0,24313.0,509.0,7963.0,33035.0,0.74,0.25,0.02,0.33,0.32,0.03,0.02,0.03,0.74,0.01,-0.01,0.81,0.16,0.0,,31,11238,34,11225,22528,0.5,0.5,0.0,0.48,-0.05,0.0,0.0,0.0,0.5,-0.0,-0.0,1.0,0.03,0.0,,113.3252627882298,11.1051880240025,False,0.06754506019889564,0.06999999999999995,602,43,3050,138986,3147,115697,260880,0.54,0.46,0.02,0.49,0.08,0.03,0.02,0.03,0.54,0.0,-0.0,0.99,0.16,0.0,,72,60.0,12247.0,173.0,4054.0,16534.0,0.74,0.25,0.01,0.26,0.03,0.01,0.01,0.01,0.74,0.0,-0.01,0.81,0.11,0.0,,65,7.0,7011.0,32.0,1386.0,8436.0,0.83,0.17,0.0,0.18,0.09,0.01,0.0,0.0,0.83,0.0,-0.0,0.65,0.04,0.0,,20,183.0,5055.0,304.0,2523.0,8065.0,0.65,0.34,0.06,0.38,0.12,0.07,0.06,0.06,0.64,0.01,-0.02,0.92,0.33,0.0,
31,NoWhitespaceBefore,353.0,24088.0,734.0,7860.0,33035.0,0.74,0.25,0.03,0.32,0.31,0.04,0.03,0.04,0.73,0.01,-0.02,0.81,0.21,0.0,,219,11149,123,11037,22528,0.5,0.5,0.02,0.64,0.28,0.02,0.01,0.02,0.5,0.01,0.01,1.0,0.11,0.0,,120.57947515408136,18.359400389854084,True,0.03838935065050491,0.23,936,286,1635,139853,2280,117112,260880,0.54,0.46,0.02,0.42,-0.08,0.01,0.02,0.01,0.54,-0.0,-0.0,0.99,0.11,0.0,,19,99.0,12187.0,233.0,4015.0,16534.0,0.74,0.25,0.02,0.3,0.2,0.02,0.02,0.02,0.74,0.0,-0.01,0.81,0.14,0.0,,39,10.0,7011.0,32.0,1383.0,8436.0,0.83,0.17,0.0,0.24,0.44,0.01,0.0,0.01,0.83,0.0,-0.0,0.65,0.05,0.0,,56,244.0,4890.0,469.0,2462.0,8065.0,0.64,0.34,0.09,0.34,0.02,0.09,0.09,0.08,0.64,0.0,-0.04,0.92,0.43,0.0,
32,LocalVariableName,432.0,23930.0,892.0,7781.0,33035.0,0.74,0.25,0.04,0.33,0.31,0.05,0.04,0.05,0.73,0.01,-0.02,0.81,0.24,0.0,,82,11191,81,11174,22528,0.5,0.5,0.01,0.5,0.01,0.01,0.01,0.01,0.5,0.0,0.0,1.0,0.06,0.0,,116.02272755281281,13.802652788585535,False,0.3365727565228753,0.06999999999999995,1118,87,4231,137817,4316,114516,260880,0.54,0.46,0.03,0.5,0.09,0.04,0.03,0.03,0.54,0.0,-0.0,0.99,0.21,0.0,,41,103.0,12155.0,265.0,4011.0,16534.0,0.74,0.25,0.02,0.28,0.12,0.03,0.02,0.02,0.74,0.0,-0.01,0.81,0.15,0.0,,143,0.0,6948.0,95.0,1393.0,8436.0,0.82,0.17,0.01,0.0,-1.0,0.0,0.01,0.0,0.83,-0.0,-0.01,0.65,0.09,0.0,,17,329.0,4827.0,532.0,2377.0,8065.0,0.64,0.34,0.11,0.38,0.14,0.12,0.1,0.1,0.63,0.02,-0.04,0.92,0.49,0.0,
33,ClassDataAbstractionCoupling,2023.0,20567.0,4255.0,6190.0,33035.0,0.68,0.25,0.19,0.32,0.3,0.25,0.17,0.16,0.66,0.04,-0.09,0.81,0.7,0.0,,132,11146,126,11124,22528,0.5,0.5,0.01,0.51,0.02,0.01,0.01,0.01,0.5,0.0,0.0,1.0,0.09,0.0,,118.9347098078873,16.714635043660053,True,0.2270697427029375,0.040000000000000036,5745,248,9141,132430,9703,109606,260880,0.54,0.46,0.07,0.49,0.07,0.08,0.07,0.07,0.54,0.01,-0.0,0.99,0.37,0.0,,25,552.0,11099.0,1321.0,3562.0,16534.0,0.7,0.25,0.11,0.29,0.18,0.13,0.11,0.1,0.69,0.01,-0.06,0.81,0.51,0.0,,13,12.0,7025.0,18.0,1381.0,8436.0,0.83,0.17,0.0,0.4,1.42,0.01,0.0,0.01,0.83,0.0,-0.0,0.65,0.03,0.0,,92,1459.0,2443.0,2916.0,1247.0,8065.0,0.48,0.34,0.54,0.33,-0.01,0.54,0.54,0.26,0.49,-0.0,-0.27,0.92,0.99,0.0,
34,FinalClass,528.0,23714.0,1108.0,7685.0,33035.0,0.73,0.25,0.05,0.32,0.3,0.06,0.04,0.06,0.73,0.01,-0.02,0.81,0.28,0.0,,49,11221,51,11207,22528,0.5,0.5,0.0,0.49,-0.02,0.0,0.0,0.0,0.5,-0.0,-0.0,1.0,0.04,0.0,,116.99130863624646,14.77123387201918,True,0.04979650642993279,0.06999999999999995,1141,82,3726,138456,3677,115021,260880,0.55,0.46,0.03,0.5,0.11,0.03,0.03,0.03,0.54,0.01,0.0,0.99,0.19,0.0,,21,228.0,11885.0,535.0,3886.0,16534.0,0.73,0.25,0.05,0.3,0.2,0.06,0.04,0.05,0.73,0.01,-0.02,0.81,0.27,0.0,,33,36.0,6938.0,105.0,1357.0,8436.0,0.83,0.17,0.02,0.26,0.55,0.03,0.01,0.02,0.82,0.0,-0.01,0.65,0.12,0.0,,32,264.0,4891.0,468.0,2442.0,8065.0,0.64,0.34,0.09,0.36,0.07,0.1,0.09,0.08,0.63,0.01,-0.04,0.92,0.44,0.0,
35,NPathComplexity,1860.0,20942.0,3880.0,6353.0,33035.0,0.69,0.25,0.17,0.32,0.3,0.23,0.16,0.15,0.66,0.04,-0.08,0.81,0.67,0.0,,239,11036,236,11017,22528,0.5,0.5,0.02,0.5,0.01,0.02,0.02,0.02,0.5,0.0,0.0,1.0,0.15,0.0,,118.78797807575113,16.567903311523864,True,0.4066225607834967,0.05000000000000005,5017,251,10770,131421,10712,107977,260880,0.55,0.46,0.08,0.5,0.1,0.09,0.08,0.08,0.54,0.01,0.0,0.99,0.41,0.0,,40,480.0,11172.0,1248.0,3634.0,16534.0,0.7,0.25,0.1,0.28,0.12,0.12,0.1,0.09,0.7,0.01,-0.06,0.81,0.48,0.0,,15,3.0,7038.0,5.0,1390.0,8436.0,0.83,0.17,0.0,0.38,1.27,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.01,0.0,,58,1377.0,2732.0,2627.0,1329.0,8065.0,0.51,0.34,0.5,0.34,0.02,0.51,0.49,0.26,0.5,0.02,-0.23,0.92,1.0,0.0,
36,OneStatementPerLine,113.0,24579.0,243.0,8100.0,33035.0,0.75,0.25,0.01,0.32,0.28,0.01,0.01,0.01,0.75,0.0,-0.01,0.81,0.09,0.0,,33,11248,24,11223,22528,0.5,0.5,0.0,0.58,0.16,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.03,0.0,,122.84793075724468,20.627855993017405,False,0.14123812674714487,0.13,289,43,3772,138098,4035,114975,260880,0.54,0.46,0.03,0.48,0.06,0.03,0.03,0.03,0.54,0.0,-0.0,0.99,0.19,0.0,,52,23.0,12358.0,62.0,4091.0,16534.0,0.75,0.25,0.01,0.27,0.09,0.01,0.0,0.01,0.75,0.0,-0.0,0.81,0.05,0.0,,104,1.0,7036.0,7.0,1392.0,8436.0,0.83,0.17,0.0,0.12,-0.24,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.01,0.0,,64,89.0,5185.0,174.0,2617.0,8065.0,0.65,0.34,0.03,0.34,0.01,0.03,0.03,0.03,0.65,0.0,-0.02,0.92,0.21,0.0,
37,ParameterNumber,798.0,23116.0,1706.0,7415.0,33035.0,0.72,0.25,0.08,0.32,0.28,0.1,0.07,0.08,0.71,0.01,-0.04,0.81,0.39,0.0,,99,11193,79,11157,22528,0.5,0.5,0.01,0.56,0.11,0.01,0.01,0.01,0.5,0.0,0.0,1.0,0.07,0.0,,116.64080924541435,14.42073448118707,True,0.0874238877554528,0.05000000000000005,2199,123,4265,138698,3435,114482,260880,0.55,0.46,0.03,0.55,0.22,0.04,0.02,0.03,0.54,0.01,0.01,0.99,0.19,0.0,,36,288.0,11693.0,727.0,3826.0,16534.0,0.72,0.25,0.06,0.28,0.14,0.07,0.06,0.06,0.72,0.01,-0.04,0.81,0.33,0.0,,41,22.0,6967.0,76.0,1371.0,8436.0,0.83,0.17,0.01,0.22,0.36,0.02,0.01,0.01,0.83,0.0,-0.01,0.65,0.09,0.0,,41,488.0,4456.0,903.0,2218.0,8065.0,0.61,0.34,0.17,0.35,0.05,0.18,0.17,0.14,0.61,0.01,-0.08,0.92,0.66,0.0,
38,CyclomaticComplexity,2519.0,19390.0,5432.0,5694.0,33035.0,0.66,0.25,0.24,0.32,0.27,0.31,0.22,0.18,0.63,0.05,-0.12,0.81,0.8,0.01,,290,10980,292,10966,22528,0.5,0.5,0.03,0.5,-0.0,0.03,0.03,0.03,0.5,-0.0,-0.0,1.0,0.17,0.0,,117.30253807304493,15.082463308817664,True,0.6003370752865165,0.040000000000000036,6719,262,12441,128244,13889,106306,260880,0.54,0.46,0.1,0.47,0.04,0.1,0.1,0.09,0.54,0.01,-0.01,0.99,0.47,0.0,,44,769.0,10401.0,2019.0,3345.0,16534.0,0.68,0.25,0.17,0.28,0.11,0.19,0.16,0.13,0.67,0.01,-0.1,0.81,0.65,0.0,,25,11.0,7018.0,25.0,1382.0,8436.0,0.83,0.17,0.0,0.31,0.85,0.01,0.0,0.01,0.83,0.0,-0.0,0.65,0.04,0.0,,61,1739.0,1971.0,3388.0,967.0,8065.0,0.46,0.34,0.64,0.34,0.01,0.64,0.63,0.29,0.46,0.01,-0.31,0.92,0.95,0.0,
39,ClassFanOutComplexity,2899.0,18523.0,6299.0,5314.0,33035.0,0.65,0.25,0.28,0.32,0.27,0.35,0.25,0.2,0.61,0.06,-0.14,0.81,0.85,0.01,,119,11164,108,11137,22528,0.5,0.5,0.01,0.52,0.05,0.01,0.01,0.01,0.5,0.0,0.0,1.0,0.08,0.0,,117.7785871054683,15.558512341241055,True,0.8074315660729745,0.020000000000000014,8450,203,10674,130513,11620,108073,260880,0.54,0.46,0.09,0.48,0.05,0.09,0.08,0.08,0.54,0.01,-0.01,0.99,0.42,0.0,,34,942.0,10041.0,2379.0,3172.0,16534.0,0.66,0.25,0.2,0.28,0.14,0.23,0.19,0.15,0.65,0.02,-0.12,0.81,0.72,0.0,,11,6.0,7035.0,8.0,1387.0,8436.0,0.83,0.17,0.0,0.43,1.6,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.02,0.0,,89,1951.0,1447.0,3912.0,755.0,8065.0,0.42,0.34,0.73,0.33,-0.01,0.72,0.73,0.29,0.43,-0.01,-0.37,0.92,0.85,0.0,
40,IllegalToken,61.0,24690.0,132.0,8152.0,33035.0,0.75,0.25,0.01,0.32,0.27,0.01,0.01,0.01,0.75,0.0,-0.0,0.81,0.05,0.0,,3,11268,4,11253,22528,0.5,0.5,0.0,0.43,-0.14,0.0,0.0,0.0,0.5,-0.0,-0.0,1.0,0.0,0.0,,105.81422113235271,3.594146368125436,True,0.14292391043611907,0.030000000000000027,173,6,2262,140740,1393,116485,260880,0.55,0.46,0.01,0.62,0.36,0.02,0.01,0.02,0.54,0.01,0.01,0.99,0.11,0.0,,11,10.0,12399.0,21.0,4104.0,16534.0,0.75,0.25,0.0,0.32,0.3,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.02,0.0,,136,0.0,7043.0,0.0,1393.0,8436.0,0.83,0.17,0.0,0.0,-1.0,0.0,0.0,0.0,0.83,0.0,0.0,0.65,0.0,0.0,,113,51.0,5248.0,111.0,2655.0,8065.0,0.66,0.34,0.02,0.31,-0.06,0.02,0.02,0.02,0.66,-0.0,-0.01,0.92,0.14,0.0,
41,ArrayTrailingComma,182.0,24422.0,400.0,8031.0,33035.0,0.74,0.25,0.02,0.31,0.26,0.02,0.02,0.02,0.74,0.0,-0.01,0.81,0.13,0.0,,78,11242,30,11178,22528,0.5,0.5,0.0,0.72,0.45,0.01,0.0,0.01,0.5,0.0,0.0,1.0,0.04,0.0,,117.4392820664158,15.219207302188535,True,0.0782830459422313,0.15000000000000002,569,98,2995,139045,3088,115752,260880,0.54,0.46,0.02,0.49,0.08,0.03,0.02,0.02,0.54,0.0,-0.0,0.99,0.16,0.0,,46,47.0,12295.0,125.0,4067.0,16534.0,0.75,0.25,0.01,0.27,0.1,0.01,0.01,0.01,0.75,0.0,-0.01,0.81,0.08,0.0,,40,4.0,7030.0,13.0,1389.0,8436.0,0.83,0.17,0.0,0.24,0.42,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.02,0.0,,85,131.0,5097.0,262.0,2575.0,8065.0,0.65,0.34,0.05,0.33,-0.01,0.05,0.05,0.04,0.65,-0.0,-0.02,0.92,0.28,0.0,
42,NestedIfDepth,2079.0,20246.0,4576.0,6134.0,33035.0,0.68,0.25,0.2,0.31,0.26,0.25,0.18,0.16,0.65,0.04,-0.1,0.81,0.72,0.0,,395,10901,371,10861,22528,0.5,0.5,0.03,0.52,0.03,0.04,0.03,0.03,0.5,0.0,0.0,1.0,0.21,0.0,,116.21735223365931,13.997277469432051,True,0.27360260886439025,0.040000000000000036,5718,254,10450,129918,12215,108297,260880,0.54,0.46,0.09,0.46,0.01,0.09,0.09,0.08,0.54,0.0,-0.01,0.99,0.43,0.0,,53,598.0,10806.0,1614.0,3516.0,16534.0,0.69,0.25,0.13,0.27,0.09,0.15,0.13,0.1,0.68,0.01,-0.08,0.81,0.57,0.0,,24,17.0,7005.0,38.0,1376.0,8436.0,0.83,0.17,0.01,0.31,0.87,0.01,0.01,0.01,0.83,0.0,-0.0,0.65,0.06,0.0,,86,1464.0,2435.0,2924.0,1242.0,8065.0,0.48,0.34,0.54,0.33,-0.01,0.54,0.55,0.26,0.49,-0.0,-0.27,0.92,0.99,0.0,
43,JavadocParagraph,2007.0,20422.0,4400.0,6206.0,33035.0,0.68,0.25,0.19,0.31,0.26,0.24,0.18,0.16,0.65,0.04,-0.1,0.81,0.71,0.0,,423,10886,386,10833,22528,0.5,0.5,0.04,0.52,0.05,0.04,0.03,0.04,0.5,0.0,0.0,1.0,0.22,0.0,,113.84312321413536,11.623048449908097,False,0.1771002375584111,0.09999999999999998,5512,601,13147,130171,11962,105600,260880,0.55,0.46,0.1,0.52,0.15,0.11,0.08,0.1,0.54,0.02,0.01,0.99,0.46,0.0,,35,809.0,10378.0,2042.0,3305.0,16534.0,0.68,0.25,0.17,0.28,0.14,0.2,0.16,0.13,0.66,0.02,-0.1,0.81,0.66,0.0,,28,190.0,6580.0,463.0,1203.0,8436.0,0.8,0.17,0.08,0.29,0.76,0.14,0.07,0.1,0.78,0.02,-0.04,0.65,0.39,0.01,,48,1008.0,3464.0,1895.0,1698.0,8065.0,0.55,0.34,0.36,0.35,0.03,0.37,0.35,0.22,0.55,0.02,-0.17,0.92,0.94,0.0,
